title,genre,publisher,developer,console,total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_date,num_platforms
Grand Theft Auto V,Action,Rockstar Games,Rockstar North,"PS3, PS4, X360, XOne",64.29,26.19,1.66,28.14,8.32,93.67,2013-09-17,4
Call of Duty: Modern Warfare 3,Shooter,Activision,Infinity Ward,"PC, PS3, Wii, X360",30.71,15.57,0.62,11.26,3.26,75.00,2011-11-08,4
Call of Duty: Black Ops,Shooter,Activision,Treyarch,"PC, PS3, Wii, X360",30.40,17.15,0.59,9.41,3.27,83.75,2010-11-09,4
Call of Duty: Black Ops II,Shooter,Activision,Treyarch,"PC, PS3, WiiU, X360",29.59,14.12,0.72,11.08,3.67,83.33,2012-11-13,4
Call of Duty: Ghosts,Shooter,Activision,Infinity Ward,"PC, PS3, PS4, WiiU, X360, XOne",28.80,15.06,0.49,9.60,3.65,78.33,2013-11-05,6
Call of Duty: Black Ops 3,Shooter,Activision,Treyarch,"PC, PS3, PS4, X360, XOne",26.72,12.82,0.50,9.76,3.63,81.00,2015-11-06,5
Call of Duty: Modern Warfare 2,Shooter,Activision,Infinity Ward,"PC, PS3, X360",25.02,13.54,0.46,8.08,2.95,93.33,2009-11-10,3
Grand Theft Auto IV,Action,Rockstar Games,Rockstar North,"PS3, X360",21.66,11.59,0.58,6.84,2.66,100.00,2008-04-29,2
Call of Duty: WWII,Shooter,Activision,Sledgehammer Games,"PC, PS4, XOne",19.82,8.49,0.40,8.23,2.70,81.00,2017-11-03,3
Red Dead Redemption 2,Action-Adventure,Rockstar Games,Rockstar Games,"PS4, XOne",19.71,9.02,0.21,7.68,2.80,98.00,2018-10-26,2
The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,Bethesda Game Studios,"PC, PS3, X360",19.36,8.85,0.35,7.76,2.40,91.67,2011-11-11,3
FIFA 15,Sports,EA Sports,EA Canada,"3DS, PC, PS3, PS4, PSV, Wii, X360, XOne",18.03,3.19,0.15,12.45,2.21,73.60,2014-09-23,8
Battlefield 3,Shooter,Electronic Arts,Dice,"PC, PS3, X360",17.32,8.22,0.41,6.50,2.19,86.33,2011-10-25,3
FIFA 14,Sports,EA Sports,EA Canada,"3DS, PC, PS3, PS4, PSP, PSV, Wii, X360, XOne",17.31,2.88,0.21,12.14,2.09,0.00,2013-11-15,9
Call of Duty 4: Modern Warfare,Shooter,Activision,Infinity Ward,"PC, PS3, X360",17.28,9.11,0.41,5.78,1.98,94.67,2007-11-05,3
FIFA 17,Sports,Electronic Arts,EA Canada,"PC, PS3, PS4, X360, XOne",17.02,2.64,0.16,12.07,2.15,88.50,2016-09-27,5
FIFA 18,Sports,EA Sports,EA Vancouver,"NS, PC, PS3, PS4, X360, XOne",16.92,2.71,0.29,11.78,2.13,75.25,2017-09-29,6
Grand Theft Auto: Vice City,Action,Rockstar Games,Rockstar North,"PC, PS2",16.19,8.41,0.47,5.52,1.78,93.00,2003-05-12,2
FIFA 16,Sports,EA Sports,EA Canada,"PC, PS3, PS4, X360, XOne",15.82,3.16,0.12,10.56,1.99,87.00,2015-09-22,5
FIFA 13,Sports,EA Sports,EA Canada,"3DS, PC, PS3, PSP, Wii, WiiU, X360",15.36,2.67,0.18,10.11,2.42,70.00,2012-11-18,7
LEGO Star Wars: The Complete Saga,Action,LucasArts,Traveller's Tales,"DS, PS3, Wii, X360",15.33,8.95,0.00,4.82,1.57,79.33,2007-11-06,4
Battlefield 4,Shooter,Electronic Arts,EA DICE,"PC, PS3, PS4, X360, XOne",14.60,6.57,0.48,5.79,1.78,85.67,2013-11-15,5
Call of Duty: Black Ops IIII,Shooter,Activision,Treyarch,"PC, PS4, XOne",14.30,7.37,0.50,4.47,1.96,0.00,2018-10-12,3
Call of Duty: Infinite Warfare,Shooter,Activision,Infinity Ward,"PC, PS4, XOne",13.60,6.14,0.19,5.46,1.83,79.00,2016-11-04,3
LEGO Batman: The Videogame,Adventure,Warner Bros. Interactive,Traveller's Tales,"DS, PC, PS2, PS3, PSP, Wii, X360",13.55,7.67,0.00,3.95,1.91,75.29,2008-09-23,7
Fallout 4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,"PS4, XOne",13.51,5.85,0.29,5.59,1.79,85.00,2015-11-10,2
Call of Duty: Advanced Warfare,Shooter,Activision,Sledgehammer Games,"PC, PS4, XOne",13.17,6.26,0.15,5.05,1.73,84.67,2014-11-04,3
Battlefield 1,Shooter,Electronic Arts,EA DICE,"PC, PS4, XOne",13.16,5.87,0.31,5.32,1.66,91.67,2016-10-21,3
Call of Duty: World at War,Shooter,Activision,Treyarch,"PC, PS3, X360",13.11,7.65,0.00,3.89,1.57,85.00,2008-11-10,3
Grand Theft Auto III,Action,Rockstar Games,DMA Design,"PC, PS2",13.11,6.99,0.30,4.52,1.30,93.00,2002-05-20,2
